region,Округ,Год,Наименование,№ строки,projects," Численность участников форумов соответствующего уровня, чел", Объeм рег. финансирования (в том числе посредством финансирования транспортных и, Объeм мун. финансирования (в том числе посредством финансирования транспортных и
Еврейская автономная область,ДФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, 3 , 256 ,,
Еврейская автономная область,ДФО,2021,Всего,59, 17 , 10 402 , - , 109 090 
Забайкальский край,ДФО,2021,Всероссийские молодeжные форумы,55, - , - , - , - 
Забайкальский край,ДФО,2021,Окружные молодeжные форумы,56, - , - , - , - 
Забайкальский край,ДФО,2021,Региональные и межрегиональные молодeжные форумы,57, 3 , 488 , 3 780 000 , - 
Забайкальский край,ДФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, 1 , 100 , - , 30 000 
Забайкальский край,ДФО,2021,Всего,59, 4 , 588 , 3 780 000 , 30 000 
Ивановская область,ЦФО,2021,Всероссийские молодeжные форумы,55, - , - , - , - 
Ивановская область,ЦФО,2021,Окружные молодeжные форумы,56, - , - , - , - 
Ивановская область,ЦФО,2021,Региональные и межрегиональные молодeжные форумы,57, 1 , 150 , 1 000 000 , - 
Ивановская область,ЦФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, 20 , 2 763 , - , 329 806 
Ивановская область,ЦФО,2021,Всего,59, 21 , 2 913 , 1 000 000 , 329 806 
Республика Ингушетия,СКФО,2021,Всероссийские молодeжные форумы,55, 5 , 2 500 , 3 000 000 , - 
Республика Ингушетия,СКФО,2021,Окружные молодeжные форумы,56, - , - , - , - 
Республика Ингушетия,СКФО,2021,Региональные и межрегиональные молодeжные форумы,57, 10 , 2 000 , 10 000 000 , - 
Республика Ингушетия,СКФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, - , - , - , - 
Республика Ингушетия,СКФО,2021,Всего,59, 15 , 4 500 , 13 000 000 , - 
Иркутская область,СФО,2021,Всероссийские молодeжные форумы,55, 9 , 93 , - , - 
Иркутская область,СФО,2021,Окружные молодeжные форумы,56, 4 , 1 498 , 2 786 929 , - 
Иркутская область,СФО,2021,Региональные и межрегиональные молодeжные форумы,57, 16 , 701 , 448 100 , 38 685 
Иркутская область,СФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, 18 , 2 042 , - , 1 977 132 
Иркутская область,СФО,2021,Всего,59, 47 , 4 334 , 3 235 029 , 2 015 817 
Кабардино-Балкарская Республика,СКФО,2021,Всероссийские молодeжные форумы,55, - , - , 849 260 ,
Кабардино-Балкарская Республика,СКФО,2021,Окружные молодeжные форумы,56, 1 , 50 , 76 781 ,
Кабардино-Балкарская Республика,СКФО,2021,Региональные и межрегиональные молодeжные форумы,57, 3 , 150 ,,
Кабардино-Балкарская Республика,СКФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, 3 , 150 ,,
Кабардино-Балкарская Республика,СКФО,2021,Всего,59, 7 , 350 , 926 041 , - 
Калининградская область,СЗФО,2021,Всероссийские молодeжные форумы,55,, - , - , - 
Калининградская область,СЗФО,2021,Окружные молодeжные форумы,56, - , - , - , - 
Калининградская область,СЗФО,2021,Региональные и межрегиональные молодeжные форумы,57, 1 , 400 , 15 362 276 , 47 113 
Калининградская область,СЗФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, 12 , 1 141 , - , 455 933 
Калининградская область,СЗФО,2021,Всего,59, 13 , 1 541 , 15 362 276 , 503 046 
Республика Калмыкия,ЮФО,2021,Всероссийские молодeжные форумы,55,, - , - , - 
Республика Калмыкия,ЮФО,2021,Окружные молодeжные форумы,56, - , - , - , - 
Республика Калмыкия,ЮФО,2021,Региональные и межрегиональные молодeжные форумы,57, - , - , - , - 
Республика Калмыкия,ЮФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, 3 , 300 , - ,
Республика Калмыкия,ЮФО,2021,Всего,59, 3 , 300 , - , - 
Калужская область,ЦФО,2021,Всероссийские молодeжные форумы,55, - , 51 , 207 720 , - 
Калужская область,ЦФО,2021,Окружные молодeжные форумы,56, - , 11 , 34 600 , - 
Калужская область,ЦФО,2021,Региональные и межрегиональные молодeжные форумы,57, 2 , 420 , 2 400 000 , 3 000 
Калужская область,ЦФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, 15 , 4 397 , - , 510 718 
Калужская область,ЦФО,2021,Всего,59, 17 , 4 879 , 2 642 320 , 513 718 
Камчатский край,ДФО,2021,Всероссийские молодeжные форумы,55,,,,
Камчатский край,ДФО,2021,Окружные молодeжные форумы,56,,,,
